yr,mn,wk,dy,1275007,1275008,1275009,1275010,1275011,1275012,1275013,1275014,1275015,1275016,1275017,1275018,1275019,1275020,1275021,1275022,1275023,1275024,1275025,1275026,1275027,1275028
2014,MAR,12,2014-03-18,5.00,5.00,5.00,1.00,1.00,5.00,5.00,5.00,4.50,,,,,,5.00,5.00,5.00,5.00,4.00,,3.50,4.00
2014,MAR,12,2014-03-19,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2014,MAR,12,2014-03-20,5.00,5.00,3.00,5.00,,5.00,5.00,5.00,,,,,,,5.00,5.00,5.00,5.00,5.00,,5.00,5.00
2014,MAR,13,2014-03-23,5.00,5.00,5.00,3.67,3.33,5.00,4.67,5.00,4.00,,,,,,5.00,4.50,4.00,4.50,4.50,,5.00,5.00
2014,MAR,13,2014-03-25,4.00,4.00,4.00,4.00,3.00,5.00,4.00,4.00,3.00,,,,,,4.00,4.00,4.00,4.00,3.00,,,
2014,MAR,13,2014-03-26,5.00,5.00,5.00,5.00,5.00,3.00,4.00,4.00,3.00,,,,,,,,,,,,3.00,3.00
2014,MAR,13,2014-03-29,3.00,3.00,3.00,4.00,4.00,4.50,4.50,4.50,4.00,,,,,,,,,,,,4.00,4.00
2014,MAR,14,2014-03-30,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2014,APR,14,2014-04-01,,5.00,,5.00,5.00,5.00,5.00,5.00,4.00,,,,,,5.00,4.00,5.00,4.00,5.00,,5.00,4.00
2014,APR,14,2014-04-02,5.00,4.00,3.00,4.50,3.00,4.50,5.00,5.00,4.00,,,,,,4.00,5.00,5.00,5.00,5.00,5.00,4.50,4.50
2014,APR,14,2014-04-03,4.50,3.00,4.50,4.50,4.50,4.50,4.50,3.50,4.50,,,,,,3.00,4.00,4.00,3.00,3.00,,4.00,4.00
2014,APR,14,2014-04-04,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,2.00,2.00,,2.00,3.00,,5.00,3.00
2014,APR,14,2014-04-05,4.50,4.50,4.25,4.50,4.50,4.00,4.25,3.50,3.75,,,,,,4.00,3.67,4.00,3.67,4.00,,2.00,1.50
2014,APR,15,2014-04-06,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.67,,,,,,4.00,5.00,5.00,4.67,4.00,,4.50,5.00
2014,APR,15,2014-04-07,5.00,4.00,4.00,5.00,5.00,3.00,3.00,3.00,3.00,,,,,,4.00,4.00,4.00,4.00,4.00,,4.00,3.00
2014,APR,16,2014-04-13,5.00,4.50,5.00,5.00,4.50,5.00,5.00,5.00,4.00,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00
2014,APR,18,2014-04-27,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,
2014,MAY,18,2014-05-03,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,
2014,MAY,19,2014-05-04,4.00,4.00,3.00,2.50,2.50,3.50,3.50,3.00,1.50,,,,,,,,,,,,,
2014,MAY,19,2014-05-06,,,,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,5.00,5.00
2014,MAY,20,2014-05-16,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,
2014,MAY,21,2014-05-18,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,1.00,,,,,4.00,3.00,3.00,4.00,3.00,,5.00,5.00
2014,MAY,21,2014-05-19,4.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,3.00,,,,,,3.00,4.00,3.00,2.00,3.00,,4.00,4.00
2014,MAY,21,2014-05-21,,,,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,
2014,MAY,22,2014-05-25,5.00,5.00,5.00,4.50,4.50,3.00,3.00,2.00,2.00,3.00,5.00,3.50,3.50,4.00,5.00,5.00,5.00,5.00,5.00,,,
2014,MAY,22,2014-05-26,5.00,5.00,5.00,5.00,5.00,2.00,1.00,2.00,1.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,,,
2014,MAY,22,2014-05-27,5.00,5.00,5.00,5.00,2.00,3.00,5.00,3.00,3.00,,,,,,5.00,5.00,5.00,2.00,3.00,,5.00,5.00
2014,MAY,22,2014-05-28,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,3.00,,,,,,3.00,4.00,4.00,3.00,3.00,,,
2014,MAY,22,2014-05-29,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,4.00,3.00,,3.00,,,,
2014,MAY,22,2014-05-30,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,5.00,5.00,5.00,4.00,4.00,,,
